time,strength,intensity,lane,centroidHz,duration,noteType
130.7413,0.818,4,2,4257.8,0.0,0
130.88,0.3725,2,2,3600.9,0.0,0
131.008,0.821,4,2,3979.8,0.0,0
131.1467,0.3252,2,1,2862.9,0.0,0
131.3493,0.5777,3,2,3553.5,1.0,1
131.552,0.3927,2,1,2477.9,0.0,0
131.7653,0.2005,1,1,2754.2,0.0,0
132.1493,0.4345,2,1,2882.6,0.0,0
132.3493,0.5777,3,2,3553.5,0.0,2
132.352,0.3879,2,1,2391.3,0.0,0
132.5547,0.2165,1,1,2895.7,0.0,0
